name,market_value,goals,assists,contribution
Gábor Horváth,12.429220196836383,0,0,0
Giannis Karalis,12.765691290604371,1,2,3
Bakary Koné,12.691583538230217,5,2,7
László Köteles,12.611541086966115,0,0,0
Francis N'Ganga,10.819798284210286,1,7,8
Jordon Mutch,12.07254696717504,7,7,14
Felipe Saad,12.429220196836383,0,1,1
Damien Tibéri,12.899222326086994,0,0,0
Tozé Marreco,11.736077016252437,6,0,6
Abdülkadir Kayali,10.819798284210286,1,1,2
Simone Colombi,12.429220196836383,0,0,0
Moussa Koné,11.918397239722838,2,1,3
Joeri de Kamps,11.51293546492023,2,4,6
Jergé Hoefdraad,11.51293546492023,1,0,1
Karim Aït-Fana,12.429220196836383,2,3,5
Paul Alo'o Efoulou,13.384729180332174,3,0,3
Kévin Anin,13.122365377402328,1,0,1
Thomas Ayasse,12.899222326086994,3,0,3
Jonathan Ayité,11.51293546492023,3,3,6
Giuseppe Bellusci,12.429220196836383,1,1,2
Fahid Ben Khalfallah,13.07107218827772,0,6,6
Arnold Bouka Moutou,11.918397239722838,2,0,2
Emmanuel Bourgaud,12.691583538230217,0,1,1
Johann Carrasso,13.122365377402328,0,0,0
Sofyane Cherfa,10.819798284210286,1,0,1
Brahim Ferradj,12.429220196836383,0,0,0
Eleftherios Gialousis,11.51293546492023,0,0,0
Luigi Giorgi,11.225256725762893,5,3,8
Jean-Armel Kana-Biyik,12.429220196836383,8,1,9
Yann Kermorgant,12.899222326086994,0,0,0
Giannis Kiliaras,11.51293546492023,1,1,2
Jiri Kladrubsky,11.51293546492023,0,0,0
Lamine Koné,11.918397239722838,11,4,15
Florin Gardos,12.765691290604371,0,0,0
Tomas Mikuckis,10.819798284210286,0,0,0
Jamel Saihi,13.815511557963774,0,0,0
Thiago Xavier,12.206077645517674,2,1,3
Gennadios Xenodochof,11.918397239722838,0,0,0
Mapou Yanga-Mbiwa,12.429220196836383,3,1,4
Mohamed Youssouf,12.206077645517674,10,7,17
Simon Dawkins,11.225256725762893,0,0,0
Paco van Moorsel,12.429220196836383,4,4,8
Aldo Angoula,11.918397239722838,2,0,2
Andrés Fernández,13.304686600863562,0,1,1
Romain Genevois,13.815511557963774,2,4,6
Thomas Konrad,11.225256725762893,2,1,3
Johann Ramaré,12.611541086966115,0,1,1
Sahin Aygünes,10.819798284210286,0,1,1
Vladimir Djilas,10.12667110305036,3,0,3
Michal Peskovic,10.12667110305036,0,1,1
Klaus Gjasula,12.899222326086994,2,2,4
Andrey Chukhley,10.819798284210286,0,0,0
Andrey Klimovich,11.736077016252437,0,0,0
David Yurchenko,10.819798284210286,0,0,0
Marcello Gazzola,11.918397239722838,1,4,5
Lys Gomis,11.918397239722838,0,0,0
Andrea Tozzo,12.206077645517674,0,0,0
Mario Fernández,10.819798284210286,0,0,0
Andreas Nordvik,11.51293546492023,2,0,2
Matheus Lopes,12.07254696717504,2,0,2
Roberto Canella,11.51293546492023,2,1,3
Cristian Castells,11.51293546492023,0,0,0
Vitus Eicher,12.07254696717504,0,0,0
Roberto Fernández,11.51293546492023,0,1,1
Natxo Insa,11.736077016252437,2,1,3
Miguel Vítor,12.899222326086994,9,2,11
Alberto Lora,11.51293546492023,0,4,4
Míchel Madera,12.206077645517674,0,0,0
Pedro,11.918397239722838,0,0,0
Christopher Schindler,13.122365377402328,1,2,3
Bruno Pinheiro,12.691583538230217,0,0,0
Müslüm Yelken,12.206077645517674,1,2,3
Pablo de Lucas,11.736077016252437,2,3,5
Furkan Özcal,11.918397239722838,6,4,10
Dmytro Babenko,11.51293546492023,0,0,0
Laure,11.51293546492023,0,1,1
Vladyslav Mykulyak,10.819798284210286,0,0,0
Vyacheslav Serdyuk,12.429220196836383,0,0,0
Cristian Bustos,10.819798284210286,1,0,1
Álvaro Giménez,13.122365377402328,2,1,3
Samuel Llorca,11.51293546492023,0,0,0
Aarón Ñíguez,11.51293546492023,1,3,4
Sergio Pelegrín,11.51293546492023,1,1,2
David Rodríguez,11.918397239722838,0,1,1
Dani Abalo,11.51293546492023,3,0,3
Edu Albacar,10.819798284210286,6,4,10
Andriy Berezovchuk,12.899222326086994,1,0,1
Yevgen Cheberyachko,12.611541086966115,2,0,2
Artem Fedetskyi,11.51293546492023,7,6,13
Volodymyr Fedoriv,12.206077645517674,0,1,1
Javi Flores,11.51293546492023,0,0,0
Apoño,13.592368256649284,9,2,11
Oleg Golodyuk,12.206077645517674,7,7,14
Samson Godwin,12.899222326086994,0,0,0
Christoph Hemlein,11.736077016252437,7,6,13
Mykola Ishchenko,12.206077645517674,2,2,4
Rustam Khudzhamov,12.206077645517674,0,0,0
Vasyl Kobin,11.918397239722838,5,7,12
Mykhaylo Kopolovets,10.819798284210286,3,3,6
Jonathan López,11.51293546492023,0,0,0
Diego Maínz,13.815511557963774,6,1,7
Yaroslav Martynyuk,11.225256725762893,4,7,11
Yuriy Martyshchuk,12.206077645517674,0,0,0
Fernando Muslera,13.527829818844937,1,2,3
Andriy Novak,11.225256725762893,0,0,0
John Bostock,12.899222326086994,7,3,10
Ruslan Platon,12.206077645517674,9,0,9
Yoel Rodríguez,13.304686600863562,0,0,0
Andriy Tkachuk,10.819798284210286,6,2,8
Athanasios Tsourakis,12.206077645517674,2,2,4
Boris Vukcevic,14.914123179965662,1,0,1
Steven Mouyokolo,13.122365377402328,0,0,0
Sergiy Siminin,10.819798284210286,3,3,6
Rui Pedro,12.206077645517674,8,5,13
Simão,12.765691290604371,4,2,6
Hugo Ventura,13.45883704259595,0,0,0
Brian Sarmiento,11.736077016252437,0,0,0
Dudu Biton,11.51293546492023,1,1,2
Javi Varas,12.611541086966115,0,0,0
Sheran Yeini,12.206077645517674,1,0,1
Matías Degra,10.819798284210286,0,0,0
Özgür Aktas,12.691583538230217,0,0,0
Wilson Palacios,13.527829818844937,0,0,0
Maximilian Beister,11.51293546492023,10,7,17
Tom,10.819798284210286,1,0,1
Gonzalo Castillejos,11.736077016252437,1,0,1
Oleg Dopilka,10.12667110305036,0,0,0
Vitaliy Fedoriv,11.51293546492023,0,0,0
Christian Groß,12.611541086966115,1,4,5
Maksym Kovalyov,11.51293546492023,5,1,6
Sergey Maslov,12.899222326086994,1,0,1
Stanislav Mykytsey,12.206077645517674,5,3,8
Igor Oshchypko,11.51293546492023,2,1,3
Kyrylo Petrov,12.429220196836383,7,2,9
Vladimir Poluyakhtov,11.51293546492023,6,3,9
Luís Alberto,11.225256725762893,3,2,5
Sergiy Shevchuk,11.918397239722838,3,4,7
Platon Svyrydov,12.611541086966115,0,0,0
Nikolay Zaytsev,12.611541086966115,3,1,4
Selim Bouadla,11.51293546492023,0,0,0
Musa Mguni,11.918397239722838,0,0,0
Nikola Vujadinovic,10.819798284210286,0,0,0
Kyriakos Papadopoulos,12.429220196836383,10,3,13
Alberto García,11.51293546492023,0,0,0
Alfredo Morales,13.122365377402328,4,7,11
Elis Bakaj,11.51293546492023,8,3,11
Gökhan Değirmenci,10.819798284210286,0,0,0
Ruslan Kambolov,11.51293546492023,1,7,8
Arif Sahin,10.12667110305036,0,0,0
Mehmet Sak,10.819798284210286,0,0,0
Ibrahim Öztürk,10.12667110305036,4,2,6
Patrick Vouho,11.51293546492023,5,2,7
Murat Kayali,11.225256725762893,0,1,1
Serkan Yanik,11.51293546492023,0,2,2
Mehmet Öztürk,11.736077016252437,0,0,0
José Manuel Casado,11.918397239722838,0,4,4
Miguel Ángel Cordero,11.51293546492023,0,2,2
Lolo,12.611541086966115,1,3,4
Kerem Can Akyüz,9.210440366976517,0,0,0
Mickaël Antoine-Curier,11.51293546492023,8,5,13
Koray Arslan,11.51293546492023,2,2,4
Sezgin Coskun,10.12667110305036,2,1,3
Kayacan Erdogan,10.12667110305036,0,0,0
Eren Güngör,12.899222326086994,0,0,0
Birol Hikmet,12.206077645517674,0,2,2
Artem Samsonov,11.736077016252437,0,1,1
Emin Aladag,10.819798284210286,1,0,1
Gökhan Emreciksin,11.918397239722838,1,0,1
Aitor Fernández,10.819798284210286,0,0,0
Gary Kagelmacher,13.122365377402328,2,2,4
Zülküf Özer,10.819798284210286,0,0,0
Rizvan Ablitarov,10.819798284210286,0,1,1
André Pinto,11.918397239722838,5,0,5
Yuriy Brovchenko,11.225256725762893,0,0,0
Volodymyr Chesnakov,11.51293546492023,11,7,18
Yevgen Bokhashvili,12.07254696717504,1,1,2
Oleksiy Palamarchuk,12.429220196836383,0,0,0
Anton Kanibolotskyi,11.225256725762893,0,0,0
Artur Karnoza,11.225256725762893,8,5,13
Vitaliy Kaverin,10.12667110305036,3,0,3
Volodymyr Korobka,10.819798284210286,2,2,4
Yevgen Peskov,10.819798284210286,0,0,0
Oleksandr Maksymov,11.51293546492023,0,1,1
Bura,10.819798284210286,1,0,1
Oleksandr Matveyev,10.819798284210286,0,1,1
Giorgiy Shelia,12.206077645517674,0,2,2
Denys Shelikhov,10.819798284210286,0,0,0
Maksim Startsev,11.51293546492023,0,0,0
Sergiy Vovkodav,11.225256725762893,0,0,0
Vyacheslav Turchanov,10.12667110305036,0,0,0
Emídio Rafael,13.527829818844937,3,7,10
Mário Felgueiras,12.206077645517674,0,0,0
Yevgen Galchuk,12.206077645517674,0,0,0
Yevgen Borovyk,11.225256725762893,0,0,0
Roman Bürki,14.731801689838349,0,0,0
Aleksandar Dragovic,15.319588176962746,5,5,10
Vitaliy Gavrysh,11.51293546492023,5,2,7
Pavlo Gryshchenko,11.51293546492023,0,0,0
Lukas Hinterseer,12.899222326086994,9,1,10
Muhammed Ildiz,11.225256725762893,1,4,5
Oleksandr Ivashchenko,10.819798284210286,0,0,0
Petro Kovalchuk,10.12667110305036,0,0,0
Heinz Lindner,12.611541086966115,0,0,0
Oleg Barannik,11.225256725762893,5,2,7
Fernando Varela,11.51293546492023,10,7,17
Vitaliy Pavlov,11.918397239722838,0,0,0
Vadym Sapay,11.51293546492023,3,3,6
Maksym Zhychykov,12.899222326086994,0,4,4
Oleksandr Sytnik,12.206077645517674,4,0,4
Gernot Trauner,14.508658238524095,2,4,6
Oleksandr Volovyk,10.12667110305036,6,0,6
Ahmed Januzi,10.819798284210286,8,5,13
Alan,11.51293546492023,0,0,0
Peter Hackenberg,10.819798284210286,0,0,0
Adessoye Oyewole,10.12667110305036,6,7,13
Aleksandr Shchanitsin,10.819798284210286,0,2,2
Philipp Zulechner,11.918397239722838,1,0,1
Soslan Dzhanaev,11.51293546492023,0,0,0
Marwin Hitz,12.206077645517674,1,0,1
Ivan Matyazh,11.51293546492023,12,3,15
Andriy Boyko,10.819798284210286,0,0,0
Sergey Ferenchak,10.819798284210286,0,0,0
Ilya Galyuza,10.819798284210286,6,2,8
Lucky Idahor,12.206077645517674,4,6,10
Dmytro Kozachenko,11.51293546492023,0,0,0
Anton Savin,12.07254696717504,0,3,3
Tales,12.611541086966115,0,0,0
Pichu Atienza,12.07254696717504,1,1,2
Manu Herrera,10.819798284210286,0,0,0
Diego Mariño,12.611541086966115,0,0,0
Aleksandr Martynovich,12.429220196836383,8,7,15
Sandro,10.12667110305036,1,0,1
Clemente,11.225256725762893,0,0,0
David de Gea,15.068273812173887,0,3,3
Gavin Morrison,11.225256725762893,0,0,0
Sergiy Barilko,12.206077645517674,0,1,1
Papa Gueye,10.819798284210286,1,3,4
Sergiy Kostyuk,11.51293546492023,0,0,0
Aleksey Kurilov,10.819798284210286,0,0,0
Vladyslav Leonidov,10.12667110305036,0,0,0
Artem Putivtsev,10.819798284210286,2,2,4
Anton Postupalenko,11.225256725762893,11,2,13
Yevgen Selin,11.918397239722838,3,3,6
Denys Sydorenko,11.51293546492023,0,0,0
Antonio Mrsic,11.51293546492023,6,2,8
Anton Putilo,10.819798284210286,8,5,13
Ricardo Ferreira,11.51293546492023,0,1,1
Jon Echaide,9.210440366976517,0,0,0
Pavol Farkas,11.918397239722838,2,1,3
Emilio Nsue,12.429220196836383,2,3,5
Lucas Pratto,12.429220196836383,0,0,0
Craig Cathcart,13.304686600863562,4,3,7
Alex Cazumba,12.611541086966115,0,0,0
Kevin Debaty,11.918397239722838,0,0,0
Boy Deul,12.206077645517674,2,3,5
Toni Varela,10.12667110305036,2,0,2
Koen Weuts,12.611541086966115,1,0,1
Melvin Platje,12.429220196836383,9,0,9
Simone Iacoponi,11.225256725762893,3,0,3
Omar Jarun,11.918397239722838,0,0,0
Macoumba Kandji,10.12667110305036,0,0,0
Jakub Reznicek,12.611541086966115,1,0,1
Jorge Teixeira,11.51293546492023,9,2,11
Benjamin Bellot,11.225256725762893,0,0,0
Rafael Defendi,10.819798284210286,0,0,0
Oleg Gerasymyuk,11.736077016252437,3,6,9
Keaghan Jacobs,11.225256725762893,1,4,5
Valery Nahayo,12.899222326086994,0,0,0
Ruslan Chernenko,11.918397239722838,5,5,10
Oleksandr Romanchuk,13.122365377402328,1,0,1
Artem Stargorodskyi,10.819798284210286,0,0,0
Apodi,12.206077645517674,1,1,2
Stanislav Bogush,12.611541086966115,0,0,0
Elderson,13.122365377402328,4,2,6
Yarema Kavatsiv,10.819798284210286,0,0,0
David Manga,11.51293546492023,0,0,0
Yevgen Pisotskyi,12.899222326086994,2,0,2
Vitaliy Vernydub,12.206077645517674,6,4,10
Yevgen Zadoya,11.51293546492023,0,2,2
Taras Lazarovych,10.12667110305036,2,0,2
Yevgen Santrapynskykh,11.51293546492023,0,0,0
Ronny Philp,10.819798284210286,0,1,1
Uros Celcer,11.225256725762893,0,0,0
Georgios Goumagias,11.918397239722838,0,0,0
Miral Samardzic,11.51293546492023,2,2,4
Spyros Vrontaras,11.51293546492023,0,0,0
Luca Rossettini,12.899222326086994,7,6,13
Bojan Malisic,12.206077645517674,1,0,1
Nemanja Obradovic,11.51293546492023,2,0,2
Viktor Vasin,12.429220196836383,6,4,10
Anastasios Avlonitis,11.51293546492023,2,4,6
Maksim Lepskiy,11.918397239722838,0,0,0
Nikolay Safronidi,10.12667110305036,2,6,8
Matej Delac,12.765691290604371,0,0,0
Vito Plut,11.918397239722838,0,1,1
Dalibor Volas,9.210440366976517,0,0,0
Rajko Brezancic,10.819798284210286,1,1,2
Ramon Leeuwin,12.611541086966115,8,3,11
Anton Monakhov,11.918397239722838,0,0,0
Gregory Nelson,11.918397239722838,6,5,11
Philipp Klement,13.304686600863562,1,2,3
Jonathan dos Santos,13.815511557963774,4,6,10
Yoann Court,12.899222326086994,3,7,10
Kévin Diaz,12.206077645517674,0,0,0
Sebastian Eriksson,12.206077645517674,1,0,1
Mathieu Gorgelin,12.429220196836383,0,0,0
Lossémy Karaboué,12.429220196836383,3,4,7
Maxime Le Marchand,13.815511557963774,5,5,10
Anthony Lopes,13.815511557963774,0,2,2
Francesco Migliore,12.765691290604371,1,0,1
Abdoul Camara,13.815511557963774,6,5,11
Yannick Sagbo,11.918397239722838,10,6,16
Léo Schwechlen,10.819798284210286,2,3,5
Samuel Souprayen,11.51293546492023,0,0,0
Yohann Thuram,12.206077645517674,0,0,0
Kévin Théophile-Catherine,13.122365377402328,2,5,7
Eric Tié Bi,12.691583538230217,0,1,1
Pierrick Valdivia,12.429220196836383,1,1,2
Evren Özyigit,10.12667110305036,0,0,0
Dmitriy Abakumov,11.736077016252437,0,0,0
Semih Kaya,12.899222326086994,5,5,10
Aleksandar Stanisavljevic,11.736077016252437,8,4,12
Denis Tonucci,11.918397239722838,0,0,0
Taleb Tawatha,12.429220196836383,2,3,5
Josh Law,12.206077645517674,0,5,5
Igor Martínez,12.206077645517674,1,0,1
Marin Anicic,10.819798284210286,1,0,1
Toni Sunjic,12.611541086966115,10,3,13
Ismail Konuk,10.12667110305036,2,0,2
Bob McHugh,12.524530013005734,4,0,4
Filip Stanisavljevic,9.210440366976517,0,2,2
Marco Estrada,12.899222326086994,4,1,5
Conrad Balatoni,12.323860125621126,7,4,11
Ryan Conroy,12.524530013005734,7,2,9
Scott Fox,12.07254696717504,0,1,1
James Keatings,12.611541086966115,1,3,4
Ivans Lukjanovs,10.819798284210286,0,0,0
Mark Millar,12.323860125621126,0,2,2
Funso Ojo,12.323860125621126,2,5,7
Ross Smith,10.12667110305036,1,0,1
Thiago Carleto,11.51293546492023,1,0,1
Bruno Ecuele Manga,12.429220196836383,3,1,4
Jamie Ness,12.206077645517674,0,0,0
Gregg Wylde,12.429220196836383,4,4,8
Vladan Giljen,12.429220196836383,0,0,0
David Vázquez,11.918397239722838,0,0,0
Mijusko Bojovic,11.918397239722838,4,1,5
Borja Viguera,11.51293546492023,6,5,11
Filippo Porcari,9.210440366976517,0,0,0
Garra Dembélé,11.51293546492023,0,0,0
Ivan Lozenkov,10.819798284210286,0,0,0
Sergey Pesjakov,12.429220196836383,0,1,1
Vincenzo Rennella,12.206077645517674,1,1,2
Shaun Hutchinson,13.45883704259595,2,3,5
Lasse Rise,11.225256725762893,9,0,9
Guus Joppen,12.206077645517674,2,4,6
Jem Karacan,12.429220196836383,1,2,3
Rinar Valeev,11.51293546492023,2,0,2
Karim Yoda,10.819798284210286,4,4,8
Camillo Ciano,12.765691290604371,7,5,12
Facundo Roncaglia,12.206077645517674,10,5,15
Sean Scannell,11.225256725762893,0,0,0
Hope Akpan,12.611541086966115,0,4,4
Barry Bannan,12.611541086966115,1,6,7
Jack Collison,13.122365377402328,2,0,2
Chris Herd,12.206077645517674,0,0,0
Jonathan Hogg,12.429220196836383,0,1,1
Eric Lichaj,13.710151153416941,0,1,1
Eunan O'Kane,12.206077645517674,0,3,3
Jordan Spence,12.899222326086994,0,0,0
Zoltán Stieber,12.206077645517674,6,5,11
Ryan McGivern,11.51293546492023,1,4,5
Conor Hourihane,13.017005083966255,4,6,10
Martyn Waghorn,12.429220196836383,9,7,16
Amine Chermiti,12.206077645517674,1,0,1
Neil Etheridge,13.122365377402328,0,0,0
Wes Foderingham,13.017005083966255,0,1,1
Callum McManaman,12.611541086966115,5,6,11
Jordan Mustoe,10.819798284210286,0,2,2
Tengarrinha,13.122365377402328,2,3,5
André Santos,11.51293546492023,5,5,10
Antonio Mazzotta,11.918397239722838,0,2,2
Nicola Rigoni,12.206077645517674,5,3,8
Kevin Koffi,11.51293546492023,6,1,7
Diogo Rosado,11.51293546492023,0,2,2
Michael Lüftner,12.429220196836383,3,0,3
Emanuele Terranova,12.206077645517674,0,0,0
Vadym Zhuk,12.206077645517674,0,0,0
Mirko Eramo,12.206077645517674,0,0,0
Guido Marilungo,10.819798284210286,2,4,6
Pablo Granoche,12.429220196836383,0,0,0
Calum Butcher,12.429220196836383,1,2,3
David Button,12.429220196836383,0,0,0
Tommy Forecast,10.819798284210286,0,0,0
Ryan Mason,15.76142084987672,4,4,8
Rens van Eijden,12.206077645517674,4,4,8
Tim Siekman,12.429220196836383,0,1,1
César Pinares,13.592368256649284,3,4,7
Vasil Shkurtaj,11.918397239722838,8,4,12
Edgar Cani,9.210440366976517,0,0,0
Joeri Dequevy,10.819798284210286,2,2,4
Jeroen Veldmate,12.765691290604371,7,5,12
Raúl Goni,11.51293546492023,0,0,0
Ulrik Flo,11.51293546492023,0,0,0
Andrew Hogg,10.819798284210286,0,0,0
Fábio,13.815511557963774,1,5,6
Mohammed Abdellaoue,13.122365377402328,10,4,14
Andreas Hagen,10.819798284210286,0,0,0
Baldur Sigurdsson,10.819798284210286,0,1,1
Mikhail Bagaev,10.819798284210286,0,0,0
Aleksandr Gorbatyuk,10.819798284210286,0,0,0
Andrey Murnin,10.819798284210286,0,2,2
Pavel Nekhaychik,12.899222326086994,5,4,9
Vladislav Nikiforov,11.736077016252437,0,2,2
Michael Esser,12.611541086966115,0,0,0
Enver Alivodic,10.819798284210286,0,0,0
Anders Konradsen,13.122365377402328,3,1,4
Morten Beck,10.12667110305036,6,3,9
Shane Ferguson,12.611541086966115,0,2,2
Vegard Forren,10.12667110305036,1,0,1
Tom Hiariej,12.611541086966115,0,4,4
Dennis Höegh,11.51293546492023,0,0,0
James Marwood,10.819798284210286,0,0,0
Callum Morris,12.611541086966115,2,0,2
Jerold Promes,11.918397239722838,1,0,1
Thomas Rogne,11.918397239722838,0,0,0
Jordan Kirkpatrick,11.918397239722838,0,0,0
Harmeet Singh,12.206077645517674,1,0,1
Philip Hellqvist,12.07254696717504,0,0,0
Antoñito,12.206077645517674,2,3,5
Melvin de Leeuw,12.206077645517674,9,5,14
Gal Shish,11.51293546492023,1,2,3
Jorge Claros,12.429220196836383,0,2,2
Javier Cohene,11.225256725762893,3,2,5
Maynor Figueroa,11.51293546492023,2,3,5
Emmanuel Ledesma,11.51293546492023,0,2,2
Ibrahim Rabiu,12.611541086966115,0,2,2
Abdoulaye Bamba,12.429220196836383,0,6,6
Baris Memis,10.12667110305036,0,3,3
Martin Thomsen,10.819798284210286,6,5,11
Sebastian Andersen,11.918397239722838,8,5,13
Carsten Christensen,11.51293546492023,0,0,0
Georgios Georgiadis,11.51293546492023,4,2,6
Kenan Hajdarevic,11.51293546492023,4,1,5
Giannis Zaradoukas,12.429220196836383,1,4,5
Aleksandr Belenov,10.819798284210286,0,0,0
Igor Sylantjev,11.51293546492023,0,0,0
Macauley Chrisantus,11.225256725762893,3,0,3
Kurtis Byrne,12.206077645517674,2,1,3
Sean Welsh,12.206077645517674,4,7,11
Sergio Mora,11.51293546492023,0,0,0
Nathan Baker,14.220976332738882,0,0,0
James Collins,12.611541086966115,6,3,9
Nathan Delfouneso,12.429220196836383,1,1,2
Harry Forrester,11.51293546492023,3,2,5
Elliot Parish,12.206077645517674,0,0,0
Jesper Rask,12.611541086966115,0,0,0
Yohan Brouckaert,12.611541086966115,2,1,3
Ryder Matos,12.429220196836383,9,5,14
Michele Camporese,13.384729180332174,1,0,1
Pietro Iemmello,13.710151153416941,8,1,9
Evariste Ngolok,10.819798284210286,11,3,14
Giuseppe De Luca,12.206077645517674,10,3,13
Nathan Goris,11.918397239722838,0,0,0
Adam Hlousek,11.225256725762893,3,2,5
Tomas Borek,12.206077645517674,3,0,3
Robert Demjan,9.210440366976517,2,2,4
Miguel Bianconi,12.429220196836383,4,0,4
Alan Mannus,10.12667110305036,0,1,1
Owain Tudur Jones,12.611541086966115,2,1,3
Lillo Castellano,11.918397239722838,0,1,1
Álvaro Domínguez,15.607270193858982,3,5,8
Víctor Ruiz,13.815511557963774,6,7,13
Jordi Figueras,10.819798284210286,2,2,4
Luis Hernández,13.122365377402328,2,2,4
Jokin Esparza,11.51293546492023,1,0,1
Oier Sanjurjo,12.611541086966115,6,5,11
Aleksandr Cherevko,10.819798284210286,0,1,1
Evgeniy Makeev,11.51293546492023,0,5,5
Vladislav Ryzhkov,11.225256725762893,0,6,6
Yekta Kurtulus,10.12667110305036,5,5,10
Ádám Pintér,12.206077645517674,0,0,0
Jules Goda,11.51293546492023,0,0,0
Tomas Hubocan,11.918397239722838,2,3,5
Igor Lewczuk,12.206077645517674,1,1,2
Ricky van Haaren,11.225256725762893,3,3,6
Kagisho Dikgacoi,13.652992804936396,0,0,0
Darvydas Sernas,11.918397239722838,6,2,8
Tawonga Chimodzi,12.206077645517674,0,0,0
João Gonçalves,13.304686600863562,0,0,0
Daan Bovenberg,12.611541086966115,3,4,7
Tim Breukers,12.765691290604371,4,6,10
Adrian Nikci,10.819798284210286,1,0,1
David Moberg Karlsson,13.527829818844937,5,5,10
Vasilios Lampropoulos,12.07254696717504,11,2,13
Aristidis Soiledis,12.206077645517674,1,3,4
Andreas Vasilogiannis,12.429220196836383,2,4,6
Vladimirs Kamess,11.736077016252437,2,2,4
Dani Benítez,11.51293546492023,1,4,5
Mikel Saizar,11.51293546492023,0,0,0
David Lombán,12.206077645517674,8,0,8
Petr Jiracek,11.736077016252437,2,3,5
Aron Gunnarsson,12.899222326086994,2,3,5
Jiloan Hamad,12.611541086966115,4,2,6
Anele Ngcongca,13.710151153416941,1,3,4
Josef Husbauer,11.918397239722838,1,3,4
Vaclav Pilar,12.765691290604371,0,0,0
Michael Rabusic,12.206077645517674,4,2,6
Tomáš Vaclík,12.611541086966115,0,0,0
Yasin Pehlivan,10.12667110305036,2,1,3
Sasa Balic,12.206077645517674,0,0,0
Alexandru Bourceanu,12.206077645517674,1,3,4
Néstor Araújo,14.508658238524095,4,3,7
Zouhaier Dhaouadi,10.12667110305036,1,0,1
Gianluca Nijholt,12.899222326086994,3,3,6
Cristian Oros,10.12667110305036,0,0,0
Mihai Roman,10.819798284210286,0,0,0
Yannick Thoelen,12.206077645517674,0,0,0
Florian Trinks,11.736077016252437,1,0,1
Tamás Kádár,12.899222326086994,1,5,6
Anton Kravchenko,11.51293546492023,7,1,8
Igor Vartsaba,11.51293546492023,0,0,0
Kostas Lamprou,11.918397239722838,0,0,0
Dani Castellano,11.918397239722838,0,4,4
Pedro Moreira,10.819798284210286,5,4,9
José Manuel Catalá,11.51293546492023,0,0,0
Álvaro García,11.918397239722838,0,0,0
Vicente Guaita,12.899222326086994,0,0,0
Joan Tomás,12.07254696717504,4,2,6
Jordy Deckers,11.225256725762893,0,0,0
Ilias Haddad,12.611541086966115,0,0,0
Sebastián Fernández,10.12667110305036,3,5,8
Douglas,12.323860125621126,7,2,9
Bernardo Espinosa,13.217675375388819,7,5,12
João Luiz,12.765691290604371,0,0,0
Igor Armas,12.899222326086994,3,7,10
Jean Sony Alcénat,12.206077645517674,0,4,4
Pablo Fontanello,12.206077645517674,12,6,18
Thierry Moutinho,11.225256725762893,4,4,8
Emrullah Salk,10.12667110305036,0,0,0
Farkhod Vasiev,11.51293546492023,0,1,1
Zeki Korkmaz,11.225256725762893,0,0,0
Issam El Adoua,11.918397239722838,2,2,4
Karim Fegrouch,11.225256725762893,0,0,0
Borja Gómez,12.691583538230217,0,0,0
Juan Manuel Insaurralde,12.611541086966115,2,3,5
Khalid Sekkat,12.691583538230217,0,1,1
Teerasil Dangda,12.429220196836383,1,0,1
Gael Etock,12.206077645517674,2,0,2
Walter Fernández,11.736077016252437,1,3,4
Andreu Fontàs,13.017005083966255,3,2,5
Jorge Morcillo,10.819798284210286,1,0,1
Abraham González,11.51293546492023,2,3,5
Timm Klose,12.611541086966115,8,1,9
Rubén Martínez,12.206077645517674,6,2,8
Jordi Masip,13.815511557963774,0,0,0
Marc McAusland,9.210440366976517,4,5,9
Rubén Miño,11.51293546492023,0,0,0
Danijel Subotic,10.12667110305036,5,1,6
Xavi Torres,11.51293546492023,1,2,3
Yago Fernández,10.819798284210286,1,0,1
Alex Cooper,11.736077016252437,1,2,3
Javi Castellano,11.51293546492023,0,0,0
Tiago Terroso,13.217675375388819,1,1,2
Karamoko Cissé,12.206077645517674,0,0,0
Dugary Ndabashinze,12.206077645517674,1,1,2
Valeriy Sorokin,10.819798284210286,0,1,1
Daniel Opare,12.429220196836383,1,5,6
Henri Bienvenu,11.51293546492023,5,4,9
Matías Rodríguez,11.736077016252437,0,0,0
Aleksey Sapogov,10.819798284210286,8,2,10
Juan Díaz,12.899222326086994,0,0,0
Anton Kobyalko,10.819798284210286,0,0,0
Kermit Erasmus,12.765691290604371,0,0,0
Amir Abrashi,12.206077645517674,1,0,1
Stanislav Dragun,12.611541086966115,5,1,6
Ermir Lenjani,12.07254696717504,1,3,4
Carles Planas,12.206077645517674,0,6,6
Oriol Romeu,13.45883704259595,10,5,15
Fabio Daprelà,12.206077645517674,0,0,0
Jon Gaztañaga,12.429220196836383,0,1,1
Theodoros Karapetsas,11.918397239722838,0,0,0
Ángel Martínez,12.206077645517674,2,3,5
Pablo Zeballos,10.12667110305036,1,5,6
Ammar Jemal,12.691583538230217,0,0,0
Daniele Ragatzu,13.304686600863562,2,1,3
Samuel Bouhours,12.611541086966115,0,1,1
Wilfried Moimbé,12.611541086966115,0,1,1
Nduka Ozokwo,10.819798284210286,1,5,6
Abdou Traoré,13.07107218827772,1,1,2
Besart Ibraimi,12.429220196836383,0,0,0
Ángel Rangel,12.611541086966115,4,3,7
