name,date_of_birth,height,weight
Aleksandar Tonev,1990-02-03,178.0,69.0
Steven Whittaker,1984-06-16,185.0,87.0
Simon Lappin,1983-01-25,180.0,60.0
Jon Flanagan,1993-01-01,181.0,79.0
Kemy Agustien,1986-08-20,178.0,75.0
Nikica Jelavić,1985-08-27,188.0,88.0
Clint Hill,1978-10-19,182.0,72.0
Jacob Butterfield,1990-06-10,180.0,77.0
Alex Bruce,1984-09-28,180.0,73.0
Artur Boruc,1980-02-20,193.0,87.0
Steven Roy Caulker,1991-12-29,191.0,76.0
Alan Tate,1982-09-02,185.0,84.0
Allan McGregor,1982-01-31,183.0,74.0
Adam Le Fondre,1986-12-02,180.0,73.0
Andrew Robertson,1994-03-11,178.0,64.0
Noel Hunt,1982-12-26,173.0,74.0
Omatsone Folarin Aluko,1989-02-19,173.0,62.0
Pape N'Diaye Souaré,1990-06-06,178.0,69.0
David Moberg-Karlsson,1994-03-20,179.0,74.0
Gary Hooper,1988-01-26,177.0,71.0
Simon Church,1988-12-10,183.0,84.0
Conor Sammon,1986-11-06,188.0,80.0
Adrián López Rodríguez,1987-02-25,184.0,75.0
Jamie Ness,1991-03-02,177.0,72.0
Gareth McAuley,1979-12-05,191.0,90.0
Victor Wanyama,1991-06-25,184.0,80.0
Dwight Gayle,1989-10-17,174.0,78.0
Simeon Jackson,1987-03-28,173.0,72.0
Adam Matthews,1992-01-13,178.0,71.0
Jos Hooiveld,1983-04-22,193.0,86.0
Nicky Maynard,1986-12-11,180.0,70.0
Guy Roland Demel,1981-06-13,188.0,88.0
David Marshall,1985-03-05,187.0,83.0
Declan John,1995-06-30,178.0,75.0
Fraser Forster,1988-03-17,201.0,93.0
Bryan Oviedo,1990-02-18,172.0,60.0
Don Cowie,1983-02-15,178.0,74.0
Joe Lewis,1987-10-06,198.0,85.0
Rafael van der Vaart,1983-02-11,176.0,74.0
Conor McAleny,1992-08-12,178.0,78.0
Shaun Maloney,1983-01-24,170.0,70.0
Joe Ledley,1987-01-23,183.0,73.0
Neil Alexander,1978-03-10,185.0,73.0
Danny Fox,1986-05-29,183.0,79.0
Rolando Aarons,1995-11-16,178.0,76.0
Paul Dummett,1991-09-26,183.0,82.0
Shane Duffy,1992-01-01,193.0,76.0
Danny Seaborne,1987-03-05,183.0,74.0
Mehdi Abeid,1992-08-06,178.0,77.0
Anga Dedryck Boyata,1990-11-28,188.0,84.0
Scott Arfield,1988-11-01,178.0,70.0
Lukas Jutkiewicz,1989-03-28,185.0,76.0
Darren Randolph,1987-05-12,187.0,98.0
Jack Butland,1993-03-10,196.0,95.0
Jason Denayer,1995-06-28,184.0,70.0
Kelechi Promise Iheanacho,1996-10-03,185.0,82.0
Gaël Bigirimana,1993-10-22,173.0,71.0
Daniel Amartey,1994-12-21,186.0,79.0
Marek Saganowski,1978-10-31,178.0,81.0
Rory Fallon,1982-03-20,193.0,74.0
Izzy Iriekpen,1982-05-14,185.0,77.0
Lee Johnson,1981-06-07,168.0,66.0
Kevin Alistair Kyle,1981-06-07,193.0,83.0
Jim Goodwin,1981-11-20,175.0,77.0
Stephen Kingsley,1994-07-23,178.0,67.0
Mark de Vries,1975-08-24,191.0,87.0
Burton O'Brien,1981-06-10,178.0,74.0
Stephen Elliott,1984-01-06,176.0,74.0
Cameron Carter-Vickers,1997-12-31,183.0,92.0
Zhi Zheng,1980-08-20,180.0,75.0
Steve Jones,1976-10-25,178.0,65.0
Gavin Rae,1977-11-28,180.0,65.0
Youl Mawene,1979-07-16,186.0,83.0
Viktor Fischer,1994-06-09,181.0,80.0
Jakob Haugaard,1992-05-01,199.0,87.0
Callum Davidson,1976-06-25,177.0,84.0
Virgil van Dijk,1991-07-08,195.0,92.0
Tom Soares,1986-07-10,183.0,72.0
Barry Nicholson,1978-08-24,170.0,58.0
Kyle Lafferty,1987-09-16,193.0,71.0
Kevin McDonald,1988-11-04,192.0,95.0
Rowan Vine,1983-09-21,185.0,75.0
Rudolf Skacel,1979-07-17,177.0,77.0
Marc Stephen Griffith Nygaard,1976-09-01,196.0,94.0
Scott Vernon,1983-12-13,185.0,73.0
Danny Haynes,1988-01-19,180.0,78.0
Akpo Sodje,1980-01-31,188.0,79.0
Ivan Sproule,1981-02-18,173.0,74.0
Remco van der Schaaf,1979-02-28,186.0,77.0
Liam Fontaine,1986-01-07,180.0,74.0
Martin Albrechtsen,1980-03-31,188.0,90.0
Lee Croft,1985-06-21,175.0,81.0
Graham Stack,1981-09-26,188.0,79.0
Chris Clark,1980-09-15,173.0,71.0
Jim Paterson,1979-09-25,175.0,81.0
Lewis Guy,1985-08-22,175.0,66.0
Steve Davies,1987-12-29,185.0,73.0
Martin Woods,1986-01-01,175.0,78.0
Kris Commons,1983-08-30,168.0,60.0
Theo Robinson,1989-01-22,175.0,64.0
Enoch Olusesan Showunmi,1982-04-21,196.0,93.0
Mark Fotheringham,1983-10-22,178.0,76.0
Sammy Clingan,1984-01-13,180.0,73.0
Guillaume Beuzelin,1979-04-14,184.0,76.0
Kevin McNaughton,1982-08-28,178.0,66.0
Glenn Loovens,1983-09-22,177.0,74.0
Kenny Miller,1979-12-23,178.0,71.0
Filip Kiss,1990-10-13,189.0,89.0
Conrad Logan,1986-04-18,188.0,89.0
Chris Burke,1983-12-02,175.0,68.0
Adam Rooney,1988-04-21,178.0,77.0
Gordon Greer,1980-12-14,192.0,85.0
Billy Clarke,1987-12-13,170.0,64.0
Gary Dicker,1986-07-31,188.0,76.0
Souleymane Bamba,1985-01-13,190.0,90.0
Paul Dixon,1986-11-22,178.0,71.0
James McPake,1984-06-24,189.0,80.0
Craig Conway,1985-05-02,187.0,83.0
Craig Bryson,1986-11-06,170.0,60.0
Johnny Russell,1990-04-08,178.0,79.0
Kallum Higginbotham,1989-06-15,180.0,68.0
Aidan White,1991-10-10,173.0,61.0
Ross McCormack,1986-08-18,175.0,74.0
Björn Bergmann Sigurðarson,1991-02-26,186.0,81.0
Ross Jenkins,1990-11-09,182.0,81.0
Rodolph William Austin,1985-06-01,184.0,84.0
Marvin Bartley,1986-07-04,190.0,79.0
Adam Legzdins,1986-11-28,190.0,78.0
Suk-Young Yun,1990-02-13,183.0,74.0
David Davis,1991-02-20,173.0,82.0
Jordan Obita,1993-12-08,181.0,74.0
Joe Garner,1988-04-12,178.0,75.0
Jim O'Brien,1987-09-28,180.0,63.0
Alexander MacDonald,1990-04-14,175.0,71.0
Gregg Wylde,1991-03-23,175.0,72.0
Colin Kazim-Richards,1986-08-26,187.0,74.0
Miles Addison,1989-01-07,189.0,93.0
Jay Aston Emmanuel-Thomas,1990-12-27,191.0,76.0
Scott McDonald,1983-08-21,173.0,78.0
Merouane Zemmama,1983-10-07,172.0,66.0
Christian Dailly,1973-10-23,183.0,80.0
Stephen McManus,1982-09-10,188.0,79.0
Lee Naylor,1980-03-19,178.0,76.0
Barry Robson,1978-11-07,181.0,75.0
Ryan Stevenson,1984-08-24,180.0,86.0
Malaury Martin,1988-08-25,178.0,75.0
Robert Kiernan,1991-01-13,186.0,77.0
Tarmo Kink,1985-10-06,183.0,74.0
Aaron Martin,1989-09-29,190.0,76.0
Sean Murray,1993-10-11,176.0,79.0
Lee Hodson,1991-10-02,180.0,75.0
Nathan Tyson,1982-05-04,183.0,64.0
Colin Healy,1980-03-15,180.0,82.0
Ryan McGivern,1990-01-08,178.0,73.0
Rhys McCabe,1992-07-24,177.0,74.0
Chris Maguire,1989-01-16,178.0,67.0
Giles Coke,1986-06-03,183.0,75.0
Matt Done,1988-07-22,178.0,65.0
Andrew Halliday,1991-10-11,181.0,82.0
David González Giraldo,1982-07-20,193.0,85.0
Russell Anderson,1978-10-25,180.0,68.0
Mark O'Brien,1992-11-20,180.0,78.0
Chris Dagnall,1986-04-15,173.0,75.0
Morgaro Gomis,1985-07-14,175.0,69.0
Paul Digby,1995-02-02,193.0,64.0
Ryan Fraser,1994-02-24,163.0,70.0
Gary Woods,1990-10-01,193.0,77.0
Mustapha Dumbuya,1987-08-07,173.0,71.0
Salim Kerkar,1987-08-04,180.0,62.0
Joe Newell,1993-03-15,180.0,71.0
Jean-Yves M'voto,1988-09-06,193.0,93.0
Robert Olejnik,1986-11-26,183.0,98.0
Connor Ripley,1993-02-13,191.0,96.0
Shane Ferguson,1991-07-12,178.0,73.0
Andrew Shinnie,1989-07-17,181.0,70.0
Lewis MacLeod,1994-06-16,175.0,72.0
Jon Miquel Toral Harper,1995-02-05,184.0,80.0
Chris Long,1995-02-25,180.0,79.0
Igor Vetokele,1992-03-23,173.0,68.0
Beram Kayal,1988-05-02,178.0,74.0
James Wilson,1995-12-01,183.0,73.0
Connor Goldson,1992-12-18,191.0,85.0
Richard Towell,1991-07-17,179.0,66.0
Lasse Vigen Christensen,1994-08-15,178.0,80.0
Jamie Murphy,1989-08-28,178.0,72.0
Jesse Joronen,1993-03-21,197.0,89.0
Adam Collin,1984-12-09,191.0,78.0
Kirk Broadfoot,1984-08-08,191.0,89.0
Kári Árnason,1982-10-13,190.0,79.0
Kenneth Dahrup Zohorè,1994-01-31,190.0,98.0
Kieran Ricardo Agard,1989-10-10,178.0,68.0
Jonathan Grounds,1988-02-02,185.0,80.0
Kelle Roos,1992-05-31,196.0,90.0
Stephen Gleeson,1988-08-03,188.0,70.0
Clayton Donaldson,1984-02-07,185.0,73.0
Michael Tidser,1990-01-15,183.0,76.0
Viv Solomon-Otabor,1996-01-02,175.0,77.0
Matty Crooks,1994-01-20,191.0,72.0
Jack Byrne,1996-04-24,171.0,73.0
Steven Hendrie,1995-01-08,178.0,70.0
Michael McGovern,1984-07-12,190.0,85.0
Donervon Joseph Daniels,1993-11-24,186.0,91.0
Gavin Gunning,1991-01-26,187.0,86.0
Paul Caddis,1988-04-19,170.0,67.0
Max Power,1993-07-27,181.0,77.0
Tim Chow,1994-01-18,180.0,72.0
Mike Grella,1987-01-23,180.0,82.0
Jorge Grant,1994-12-19,175.0,73.0
Moussa Dembélé,1996-07-12,183.0,73.0
Shaun Hutchinson,1990-11-23,188.0,80.0
Max Lowe,1997-05-11,175.0,74.0
Kenny Milne,1979-08-26,188.0,79.0
Eoin Doyle,1988-03-12,182.0,73.0
John Lundstram,1994-02-18,181.0,74.0
Sakari Mattila,1989-07-14,186.0,81.0
Nikolay Georgiev Bodurov,1986-05-30,179.0,74.0
Emerson Hyndman,1996-04-09,170.0,61.0
Danny Ward,1993-06-22,191.0,88.0
Charles Dunne,1993-02-13,188.0,87.0
Elliot Parish,1990-05-20,188.0,83.0
Aaron Mooy,1990-09-15,174.0,68.0
